index,Year,Month,Region,County,Beneficiaries, Benefit Amounts (Dollars) 
113,2018,10,Finger Lakes,Seneca,200,160000
114,2018,10,Southern Tier,Steuben,600,600000
115,2018,10,North Country,St. Lawrence,700,560000
116,2018,10,Long Island,Suffolk,7400,9390000
117,2018,10,Hudson Valley,Sullivan,400,440000
118,2018,10,Southern Tier,Tioga,300,290000
119,2018,10,Southern Tier,Tompkins,300,350000
120,2018,10,Hudson Valley,Ulster,900,980000
121,2018,10,Unknown Geography,Unknown,100,100000
122,2018,10,Capital,Warren,400,390000
123,2018,10,Capital,Washington,300,330000
124,2018,10,Finger Lakes,Wayne,500,520000
125,2018,10,Hudson Valley,Westchester,4400,5930000
126,2018,10,Finger Lakes,Wyoming,200,220000
127,2018,10,Finger Lakes,Yates,100,90000
128,2018,9,Capital,Albany,1600,1470000
129,2018,9,Western New York,Allegany,200,170000
130,2018,9,New York City,Bronx,14300,11970000
131,2018,9,Southern Tier,Broome,1000,890000
132,2018,9,Western New York,Cattaraugus,500,390000
133,2018,9,Central New York,Cayuga,500,380000
134,2018,9,Western New York,Chautauqua,700,550000
135,2018,9,Southern Tier,Chemung,400,350000
136,2018,9,Southern Tier,Chenango,300,200000
137,2018,9,North Country,Clinton,400,340000
138,2018,9,Capital,Columbia,200,210000
139,2018,9,Central New York,Cortland,200,180000
140,2018,9,Southern Tier,Delaware,200,150000
141,2018,9,Hudson Valley,Dutchess,1200,1240000
142,2018,9,Western New York,Erie,6500,5330000
143,2018,9,North Country,Essex,200,110000
144,2018,9,North Country,Franklin,200,190000
145,2018,9,Mohawk Valley,Fulton,300,250000
146,2018,9,Finger Lakes,Genesee,300,270000
147,2018,9,Capital,Greene,300,250000
148,2018,9,North Country,Hamilton,0,10000
149,2018,9,Mohawk Valley,Herkimer,300,270000
150,2018,9,North Country,Jefferson,600,480000
151,2018,9,New York City,Kings,20700,18980000
152,2018,9,North Country,Lewis,100,100000
153,2018,9,Finger Lakes,Livingston,300,270000
154,2018,9,Central New York,Madison,300,250000
155,2018,9,Finger Lakes,Monroe,5100,4320000
156,2018,9,Mohawk Valley,Montgomery,400,370000
157,2018,9,Long Island,Nassau,8500,7940000
158,2018,9,New York City,New York,12600,12950000
159,2018,9,Western New York,Niagara,1900,1340000
160,2018,9,Mohawk Valley,Oneida,1300,1090000
161,2018,9,Central New York,Onondaga,2400,2060000
162,2018,9,Finger Lakes,Ontario,500,460000
163,2018,9,Hudson Valley,Orange,2300,1990000
164,2018,9,Finger Lakes,Orleans,300,170000
165,2018,9,Central New York,Oswego,700,610000
166,2018,9,Mohawk Valley,Otsego,200,170000
167,2018,9,Out-of-State Resident,Out-of-State,11300,13740000
168,2018,9,Hudson Valley,Putnam,500,510000
169,2018,9,New York City,Queens,15200,14550000
170,2018,9,Capital,Rensselaer,1000,850000
171,2018,9,New York City,Richmond,3600,3200000
172,2018,9,Hudson Valley,Rockland,1600,1350000
173,2018,9,Capital,Saratoga,1100,1080000
174,2018,9,Capital,Schenectady,1100,1000000
175,2018,9,Mohawk Valley,Schoharie,200,130000
176,2018,9,Southern Tier,Schuyler,100,60000
177,2018,9,Finger Lakes,Seneca,100,120000
178,2018,9,Southern Tier,Steuben,500,460000
179,2018,9,North Country,St. Lawrence,500,410000
180,2018,9,Long Island,Suffolk,11100,9290000
181,2018,9,Hudson Valley,Sullivan,500,400000
182,2018,9,Southern Tier,Tioga,200,240000
183,2018,9,Southern Tier,Tompkins,300,250000
184,2018,9,Hudson Valley,Ulster,1200,910000
185,2018,9,Unknown Geography,Unknown,100,110000
186,2018,9,Capital,Warren,300,270000
187,2018,9,Capital,Washington,300,250000
188,2018,9,Finger Lakes,Wayne,500,410000
189,2018,9,Hudson Valley,Westchester,6100,5530000
190,2018,9,Finger Lakes,Wyoming,200,160000
191,2018,9,Finger Lakes,Yates,100,70000
192,2018,8,Capital,Albany,1800,1750000
193,2018,8,Western New York,Allegany,300,250000
194,2018,8,New York City,Bronx,15000,14720000
195,2018,8,Southern Tier,Broome,1300,1160000
196,2018,8,Western New York,Cattaraugus,600,490000
197,2018,8,Central New York,Cayuga,600,550000
198,2018,8,Western New York,Chautauqua,900,680000
199,2018,8,Southern Tier,Chemung,500,400000
200,2018,8,Southern Tier,Chenango,300,260000
201,2018,8,North Country,Clinton,600,500000
202,2018,8,Capital,Columbia,200,250000
203,2018,8,Central New York,Cortland,300,260000
204,2018,8,Southern Tier,Delaware,200,190000
205,2018,8,Hudson Valley,Dutchess,1400,1500000
206,2018,8,Western New York,Erie,7200,6820000
207,2018,8,North Country,Essex,100,130000
208,2018,8,North Country,Franklin,300,240000
209,2018,8,Mohawk Valley,Fulton,300,250000
210,2018,8,Finger Lakes,Genesee,400,340000
211,2018,8,Capital,Greene,300,300000
212,2018,8,North Country,Hamilton,0,10000
213,2018,8,Mohawk Valley,Herkimer,400,310000
214,2018,8,North Country,Jefferson,700,610000
215,2018,8,New York City,Kings,21200,22680000
216,2018,8,North Country,Lewis,100,120000
217,2018,8,Finger Lakes,Livingston,400,350000
218,2018,8,Central New York,Madison,400,330000
219,2018,8,Finger Lakes,Monroe,5500,5360000
220,2018,8,Mohawk Valley,Montgomery,500,420000
221,2018,8,Long Island,Nassau,8900,10070000
222,2018,8,New York City,New York,13200,14860000
223,2018,8,Western New York,Niagara,2100,1710000
224,2018,8,Mohawk Valley,Oneida,1400,1280000
225,2018,8,Central New York,Onondaga,2600,2580000
226,2018,8,Finger Lakes,Ontario,500,510000
227,2018,8,Hudson Valley,Orange,2500,2500000
228,2018,8,Finger Lakes,Orleans,300,280000
229,2018,8,Central New York,Oswego,900,890000
230,2018,8,Mohawk Valley,Otsego,300,290000
231,2018,8,Out-of-State Resident,Out-of-State,11900,15530000
232,2018,8,Hudson Valley,Putnam,500,620000
233,2018,8,New York City,Queens,15500,16910000
234,2018,8,Capital,Rensselaer,1100,1030000
235,2018,8,New York City,Richmond,3700,3970000
236,2018,8,Hudson Valley,Rockland,1700,1760000
237,2018,8,Capital,Saratoga,1100,1170000
238,2018,8,Capital,Schenectady,1100,1070000
239,2018,8,Mohawk Valley,Schoharie,200,190000
240,2018,8,Southern Tier,Schuyler,100,90000
241,2018,8,Finger Lakes,Seneca,200,160000
242,2018,8,Southern Tier,Steuben,500,470000
243,2018,8,North Country,St. Lawrence,800,690000
244,2018,8,Long Island,Suffolk,11900,13310000
245,2018,8,Hudson Valley,Sullivan,500,450000
246,2018,8,Southern Tier,Tioga,300,270000
247,2018,8,Southern Tier,Tompkins,300,340000
248,2018,8,Hudson Valley,Ulster,1200,1200000
249,2018,8,Unknown Geography,Unknown,100,120000
250,2018,8,Capital,Warren,300,290000
251,2018,8,Capital,Washington,300,280000
252,2018,8,Finger Lakes,Wayne,500,490000
253,2018,8,Hudson Valley,Westchester,6500,7060000
254,2018,8,Finger Lakes,Wyoming,200,190000
255,2018,8,Finger Lakes,Yates,100,80000
256,2018,7,Capital,Albany,1800,2000000
257,2018,7,Western New York,Allegany,300,320000
258,2018,7,New York City,Bronx,15100,16120000
259,2018,7,Southern Tier,Broome,1400,1400000
260,2018,7,Western New York,Cattaraugus,600,600000
261,2018,7,Central New York,Cayuga,600,650000
262,2018,7,Western New York,Chautauqua,900,850000
263,2018,7,Southern Tier,Chemung,500,490000
264,2018,7,Southern Tier,Chenango,400,340000
265,2018,7,North Country,Clinton,600,570000
266,2018,7,Capital,Columbia,300,300000
267,2018,7,Central New York,Cortland,300,340000
268,2018,7,Southern Tier,Delaware,300,280000
269,2018,7,Hudson Valley,Dutchess,1500,1760000
270,2018,7,Western New York,Erie,7600,7830000
271,2018,7,North Country,Essex,200,150000
272,2018,7,North Country,Franklin,300,300000
273,2018,7,Mohawk Valley,Fulton,300,320000
274,2018,7,Finger Lakes,Genesee,400,400000
275,2018,7,Capital,Greene,300,340000
276,2018,7,North Country,Hamilton,0,10000
277,2018,7,Mohawk Valley,Herkimer,800,540000
278,2018,7,North Country,Jefferson,700,760000
279,2018,7,New York City,Kings,21700,24870000
280,2018,7,North Country,Lewis,200,180000
281,2018,7,Finger Lakes,Livingston,600,470000
282,2018,7,Central New York,Madison,400,450000
283,2018,7,Finger Lakes,Monroe,5800,6140000
284,2018,7,Mohawk Valley,Montgomery,500,480000
285,2018,7,Long Island,Nassau,9200,11220000
286,2018,7,New York City,New York,13500,16380000
287,2018,7,Western New York,Niagara,2300,2110000
288,2018,7,Mohawk Valley,Oneida,1700,1620000
289,2018,7,Central New York,Onondaga,2800,3050000
290,2018,7,Finger Lakes,Ontario,600,630000
291,2018,7,Hudson Valley,Orange,2700,2840000
292,2018,7,Finger Lakes,Orleans,400,360000
293,2018,7,Central New York,Oswego,1000,1190000
294,2018,7,Mohawk Valley,Otsego,400,390000
295,2018,7,Out-of-State Resident,Out-of-State,12800,17680000
296,2018,7,Hudson Valley,Putnam,600,700000
297,2018,7,New York City,Queens,16000,18840000
298,2018,7,Capital,Rensselaer,1100,1180000
299,2018,7,New York City,Richmond,3700,4370000
300,2018,7,Hudson Valley,Rockland,1700,1970000
301,2018,7,Capital,Saratoga,1200,1410000
302,2018,7,Capital,Schenectady,1100,1250000
303,2018,7,Mohawk Valley,Schoharie,300,250000
304,2018,7,Southern Tier,Schuyler,100,110000
305,2018,7,Finger Lakes,Seneca,200,190000
306,2018,7,Southern Tier,Steuben,600,550000
307,2018,7,North Country,St. Lawrence,900,870000
308,2018,7,Long Island,Suffolk,12300,14900000
309,2018,7,Hudson Valley,Sullivan,500,500000
310,2018,7,Southern Tier,Tioga,300,300000
311,2018,7,Southern Tier,Tompkins,400,400000
312,2018,7,Hudson Valley,Ulster,1300,1390000
313,2018,7,Unknown Geography,Unknown,100,180000
314,2018,7,Capital,Warren,300,350000
315,2018,7,Capital,Washington,300,340000
316,2018,7,Finger Lakes,Wayne,600,610000
317,2018,7,Hudson Valley,Westchester,6600,7580000
318,2018,7,Finger Lakes,Wyoming,300,270000
319,2018,7,Finger Lakes,Yates,100,90000
320,2018,6,Capital,Albany,1600,1580000
321,2018,6,Western New York,Allegany,300,240000
322,2018,6,New York City,Bronx,12000,11670000
323,2018,6,Southern Tier,Broome,1300,1060000
324,2018,6,Western New York,Cattaraugus,500,450000
325,2018,6,Central New York,Cayuga,500,450000
326,2018,6,Western New York,Chautauqua,800,620000
327,2018,6,Southern Tier,Chemung,500,400000
328,2018,6,Southern Tier,Chenango,300,270000
329,2018,6,North Country,Clinton,500,440000
330,2018,6,Capital,Columbia,200,240000
331,2018,6,Central New York,Cortland,300,290000
332,2018,6,Southern Tier,Delaware,300,220000
333,2018,6,Hudson Valley,Dutchess,1300,1450000
334,2018,6,Western New York,Erie,6200,5530000
335,2018,6,North Country,Essex,100,140000
336,2018,6,North Country,Franklin,300,240000
337,2018,6,Mohawk Valley,Fulton,300,260000
338,2018,6,Finger Lakes,Genesee,400,330000
339,2018,6,Capital,Greene,300,250000
340,2018,6,North Country,Hamilton,0,20000
341,2018,6,Mohawk Valley,Herkimer,300,260000
342,2018,6,North Country,Jefferson,600,520000
343,2018,6,New York City,Kings,17800,18620000
344,2018,6,North Country,Lewis,200,150000
345,2018,6,Finger Lakes,Livingston,400,380000
346,2018,6,Central New York,Madison,400,380000
347,2018,6,Finger Lakes,Monroe,4400,4320000
348,2018,6,Mohawk Valley,Montgomery,400,370000
349,2018,6,Long Island,Nassau,7300,8210000
350,2018,6,New York City,New York,12300,13500000
351,2018,6,Western New York,Niagara,1800,1440000
352,2018,6,Mohawk Valley,Oneida,1400,1230000
353,2018,6,Central New York,Onondaga,2500,2400000
354,2018,6,Finger Lakes,Ontario,600,570000
355,2018,6,Hudson Valley,Orange,2000,2130000
356,2018,6,Finger Lakes,Orleans,300,210000
357,2018,6,Central New York,Oswego,1000,960000
358,2018,6,Mohawk Valley,Otsego,300,290000
359,2018,6,Out-of-State Resident,Out-of-State,12300,15390000
360,2018,6,Hudson Valley,Putnam,500,530000
361,2018,6,New York City,Queens,13300,14550000
362,2018,6,Capital,Rensselaer,1000,950000
363,2018,6,New York City,Richmond,2700,2870000
364,2018,6,Hudson Valley,Rockland,1300,1350000
365,2018,6,Capital,Saratoga,1100,1150000
366,2018,6,Capital,Schenectady,1000,1040000
367,2018,6,Mohawk Valley,Schoharie,200,180000
368,2018,6,Southern Tier,Schuyler,100,80000
369,2018,6,Finger Lakes,Seneca,200,150000
370,2018,6,Southern Tier,Steuben,600,500000
371,2018,6,North Country,St. Lawrence,800,660000
372,2018,6,Long Island,Suffolk,8200,8750000
373,2018,6,Hudson Valley,Sullivan,400,380000
374,2018,6,Southern Tier,Tioga,300,250000
375,2018,6,Southern Tier,Tompkins,300,350000
376,2018,6,Hudson Valley,Ulster,1000,1020000
377,2018,6,Unknown Geography,Unknown,100,140000
378,2018,6,Capital,Warren,400,330000
379,2018,6,Capital,Washington,300,290000
380,2018,6,Finger Lakes,Wayne,500,520000
381,2018,6,Hudson Valley,Westchester,4800,5390000
382,2018,6,Finger Lakes,Wyoming,200,170000
383,2018,6,Finger Lakes,Yates,100,80000
384,2018,5,Capital,Albany,1700,1720000
385,2018,5,Western New York,Allegany,300,290000
386,2018,5,New York City,Bronx,12000,12510000
387,2018,5,Southern Tier,Broome,1400,1210000
388,2018,5,Western New York,Cattaraugus,700,600000
389,2018,5,Central New York,Cayuga,600,570000
390,2018,5,Western New York,Chautauqua,900,810000
391,2018,5,Southern Tier,Chemung,500,460000
392,2018,5,Southern Tier,Chenango,400,330000
393,2018,5,North Country,Clinton,600,480000
394,2018,5,Capital,Columbia,300,290000
395,2018,5,Central New York,Cortland,400,340000
396,2018,5,Southern Tier,Delaware,300,240000
397,2018,5,Hudson Valley,Dutchess,1500,1660000
398,2018,5,Western New York,Erie,6700,6480000
399,2018,5,North Country,Essex,300,200000
400,2018,5,North Country,Franklin,400,380000
401,2018,5,Mohawk Valley,Fulton,400,340000
402,2018,5,Finger Lakes,Genesee,400,400000
403,2018,5,Capital,Greene,300,310000
404,2018,5,North Country,Hamilton,100,60000
405,2018,5,Mohawk Valley,Herkimer,500,400000
406,2018,5,North Country,Jefferson,900,740000
407,2018,5,New York City,Kings,18200,20660000
408,2018,5,North Country,Lewis,300,220000
409,2018,5,Finger Lakes,Livingston,600,510000
410,2018,5,Central New York,Madison,500,460000
411,2018,5,Finger Lakes,Monroe,4800,4930000
412,2018,5,Mohawk Valley,Montgomery,500,460000
413,2018,5,Long Island,Nassau,7500,9000000
414,2018,5,New York City,New York,12500,15060000
415,2018,5,Western New York,Niagara,2000,1810000
416,2018,5,Mohawk Valley,Oneida,1600,1420000
417,2018,5,Central New York,Onondaga,2800,2710000
418,2018,5,Finger Lakes,Ontario,700,680000
419,2018,5,Hudson Valley,Orange,2200,2400000
420,2018,5,Finger Lakes,Orleans,300,240000
421,2018,5,Central New York,Oswego,1100,990000
422,2018,5,Mohawk Valley,Otsego,400,320000
423,2018,5,Out-of-State Resident,Out-of-State,12800,17150000
424,2018,5,Hudson Valley,Putnam,500,580000
425,2018,5,New York City,Queens,13900,16180000
426,2018,5,Capital,Rensselaer,1000,1060000
427,2018,5,New York City,Richmond,2700,3070000
428,2018,5,Hudson Valley,Rockland,1300,1510000
429,2018,5,Capital,Saratoga,1300,1420000
430,2018,5,Capital,Schenectady,1100,1200000
431,2018,5,Mohawk Valley,Schoharie,300,230000
432,2018,5,Southern Tier,Schuyler,200,140000
433,2018,5,Finger Lakes,Seneca,200,190000
434,2018,5,Southern Tier,Steuben,900,720000
435,2018,5,North Country,St. Lawrence,1000,760000
436,2018,5,Long Island,Suffolk,8800,10040000
437,2018,5,Hudson Valley,Sullivan,500,470000
438,2018,5,Southern Tier,Tioga,300,310000
439,2018,5,Southern Tier,Tompkins,400,350000
440,2018,5,Hudson Valley,Ulster,1100,1110000
441,2018,5,Unknown Geography,Unknown,100,210000
442,2018,5,Capital,Warren,600,470000
443,2018,5,Capital,Washington,400,380000
444,2018,5,Finger Lakes,Wayne,700,580000
445,2018,5,Hudson Valley,Westchester,4900,5900000
446,2018,5,Finger Lakes,Wyoming,300,270000
447,2018,5,Finger Lakes,Yates,100,100000
448,2018,4,Capital,Albany,2100,2200000
449,2018,4,Western New York,Allegany,500,470000
450,2018,4,New York City,Bronx,15300,14520000
451,2018,4,Southern Tier,Broome,2000,2090000
452,2018,4,Western New York,Cattaraugus,1100,1060000
453,2018,4,Central New York,Cayuga,900,890000
454,2018,4,Western New York,Chautauqua,1500,1370000
455,2018,4,Southern Tier,Chemung,700,670000
456,2018,4,Southern Tier,Chenango,600,650000
457,2018,4,North Country,Clinton,800,790000
458,2018,4,Capital,Columbia,400,480000
459,2018,4,Central New York,Cortland,700,740000
460,2018,4,Southern Tier,Delaware,500,470000
461,2018,4,Hudson Valley,Dutchess,1800,2010000
462,2018,4,Western New York,Erie,10100,9680000
463,2018,4,North Country,Essex,400,410000
464,2018,4,North Country,Franklin,600,600000
465,2018,4,Mohawk Valley,Fulton,600,620000
466,2018,4,Finger Lakes,Genesee,700,700000
467,2018,4,Capital,Greene,500,490000
468,2018,4,North Country,Hamilton,200,150000
469,2018,4,Mohawk Valley,Herkimer,800,820000
470,2018,4,North Country,Jefferson,1500,1490000
471,2018,4,New York City,Kings,21900,22620000
472,2018,4,North Country,Lewis,500,530000
473,2018,4,Finger Lakes,Livingston,800,790000
474,2018,4,Central New York,Madison,800,870000
475,2018,4,Finger Lakes,Monroe,6900,6790000
476,2018,4,Mohawk Valley,Montgomery,800,800000
477,2018,4,Long Island,Nassau,10100,10490000
478,2018,4,New York City,New York,13500,15400000
479,2018,4,Western New York,Niagara,3400,3090000
480,2018,4,Mohawk Valley,Oneida,2200,2180000
481,2018,4,Central New York,Onondaga,3700,3830000
482,2018,4,Finger Lakes,Ontario,1100,1170000
483,2018,4,Hudson Valley,Orange,3100,3100000
484,2018,4,Finger Lakes,Orleans,500,440000
485,2018,4,Central New York,Oswego,1600,1610000
486,2018,4,Mohawk Valley,Otsego,700,630000
487,2018,4,Out-of-State Resident,Out-of-State,14200,18460000
488,2018,4,Hudson Valley,Putnam,700,710000
489,2018,4,New York City,Queens,16800,17920000
490,2018,4,Capital,Rensselaer,1500,1630000
491,2018,4,New York City,Richmond,3700,3590000
492,2018,4,Hudson Valley,Rockland,1900,1810000
493,2018,4,Capital,Saratoga,1900,2000000
494,2018,4,Capital,Schenectady,1600,1620000
495,2018,4,Mohawk Valley,Schoharie,400,430000
496,2018,4,Southern Tier,Schuyler,300,300000
497,2018,4,Finger Lakes,Seneca,300,280000
498,2018,4,Southern Tier,Steuben,1200,1160000
499,2018,4,North Country,St. Lawrence,1300,1270000
500,2018,4,Long Island,Suffolk,14500,14090000
501,2018,4,Hudson Valley,Sullivan,800,740000
502,2018,4,Southern Tier,Tioga,500,520000
503,2018,4,Southern Tier,Tompkins,500,500000
504,2018,4,Hudson Valley,Ulster,1600,1470000
505,2018,4,Unknown Geography,Unknown,100,140000
506,2018,4,Capital,Warren,1000,950000
507,2018,4,Capital,Washington,600,620000
508,2018,4,Finger Lakes,Wayne,1000,1130000
509,2018,4,Hudson Valley,Westchester,6500,6870000
510,2018,4,Finger Lakes,Wyoming,600,610000
511,2018,4,Finger Lakes,Yates,200,220000
512,2018,3,Capital,Albany,2200,2340000
513,2018,3,Western New York,Allegany,600,580000
514,2018,3,New York City,Bronx,14000,13980000
515,2018,3,Southern Tier,Broome,2200,2270000
516,2018,3,Western New York,Cattaraugus,1200,1230000
517,2018,3,Central New York,Cayuga,900,950000
518,2018,3,Western New York,Chautauqua,1500,1460000
519,2018,3,Southern Tier,Chemung,800,730000
520,2018,3,Southern Tier,Chenango,700,740000
521,2018,3,North Country,Clinton,900,890000
522,2018,3,Capital,Columbia,500,580000
523,2018,3,Central New York,Cortland,800,870000
524,2018,3,Southern Tier,Delaware,500,520000
525,2018,3,Hudson Valley,Dutchess,2000,2230000
526,2018,3,Western New York,Erie,9900,10460000
527,2018,3,North Country,Essex,500,480000
528,2018,3,North Country,Franklin,600,640000
529,2018,3,Mohawk Valley,Fulton,700,700000
530,2018,3,Finger Lakes,Genesee,800,840000
531,2018,3,Capital,Greene,500,530000
532,2018,3,North Country,Hamilton,200,130000
533,2018,3,Mohawk Valley,Herkimer,900,950000
534,2018,3,North Country,Jefferson,1700,1710000
535,2018,3,New York City,Kings,19500,20970000
536,2018,3,North Country,Lewis,500,590000
537,2018,3,Finger Lakes,Livingston,900,890000
538,2018,3,Central New York,Madison,900,1070000
539,2018,3,Finger Lakes,Monroe,6900,7110000
540,2018,3,Mohawk Valley,Montgomery,900,960000
541,2018,3,Long Island,Nassau,9800,11010000
542,2018,3,New York City,New York,13100,14710000
543,2018,3,Western New York,Niagara,3300,3310000
544,2018,3,Mohawk Valley,Oneida,2300,2310000
545,2018,3,Central New York,Onondaga,4000,4240000
546,2018,3,Finger Lakes,Ontario,1300,1380000
547,2018,3,Hudson Valley,Orange,2800,3020000
548,2018,3,Finger Lakes,Orleans,500,560000
549,2018,3,Central New York,Oswego,1800,1850000
550,2018,3,Mohawk Valley,Otsego,800,780000
551,2018,3,Out-of-State Resident,Out-of-State,14700,18650000
552,2018,3,Hudson Valley,Putnam,800,830000
553,2018,3,New York City,Queens,15700,17270000
554,2018,3,Capital,Rensselaer,1600,1820000
555,2018,3,New York City,Richmond,3100,3360000
556,2018,3,Hudson Valley,Rockland,2100,2010000
557,2018,3,Capital,Saratoga,2000,2310000
558,2018,3,Capital,Schenectady,1600,1720000
559,2018,3,Mohawk Valley,Schoharie,500,530000
560,2018,3,Southern Tier,Schuyler,300,350000
561,2018,3,Finger Lakes,Seneca,300,350000
562,2018,3,Southern Tier,Steuben,1300,1300000
563,2018,3,North Country,St. Lawrence,1400,1360000
564,2018,3,Long Island,Suffolk,14500,16340000
565,2018,3,Hudson Valley,Sullivan,800,790000
566,2018,3,Southern Tier,Tioga,600,630000
567,2018,3,Southern Tier,Tompkins,600,590000
568,2018,3,Hudson Valley,Ulster,1600,1620000
569,2018,3,Unknown Geography,Unknown,100,170000
570,2018,3,Capital,Warren,1100,1120000
571,2018,3,Capital,Washington,700,750000
572,2018,3,Finger Lakes,Wayne,1200,1260000
573,2018,3,Hudson Valley,Westchester,6800,7510000
574,2018,3,Finger Lakes,Wyoming,700,760000
575,2018,3,Finger Lakes,Yates,300,260000
